formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
저도 오늘 아침 운동을 했어야 하는데 늦잠을 자버렸어요.	나도 오늘 아침 운동을 했어야 하는데 늦잠을 자버렸어.	안드로이드. 오늘 아침. 운동. 했어야 함. 그러나. 늦잠.	나도 오늘 아침 운동을 했어야 했는디 늦잠을 자버렸어~..	나도 오늘 아침 운동 했어야했는데 늦잠 자버렸음…ㅠㅠ	나도 아침운동 했어야 했는데, 늦잠 자버림ㅋㅋ	나도 오늘 아침 운동을 했어야 했는데 늦잠 자버렸어…(￣o￣) . Z Z	나두 오늘 아침 운동 했어야 하는데ㅜㅜ 늦잠 자버렸어,,,,	저도 오늘 아침 운동을 해야했는데, 늦잠을 자버렸습니다.	나도…오늘 아침에..운동을 했어야 했는디..늦잠을 자 버렸구먼…	나두 오늘 아침 운동을 조졌어야 했는디 늦잠을 자버렸어	나도 오늘 아침에 운동했어야 됐는데 늦잠잠 ㅡㅡ	짐 또한 금일 아침 운동을 했어야 하거늘, 늦잠을 자버렸소.	나도 오늘 아침에 운동을 했어야 했는데 늦잠을 자버렸다니깐!	소생도 오늘 아침에 운동을 했어야 했는데 늦잠을 자버리고 만 것이오…	나도 오늘 아침에 운동 했어야됐는데 늦잠 자버렸어..	나도 오늘 아침 운동을 필요로 했으나, 나는 늦은 시간까지 잤다.
평소에 늦잠을 자주 안잤던걸로 기억하는데, 무슨 일 있었어요?	평소에 늦잠을 자주 안잤던걸로 기억하는데, 무슨 일 있었어?	평소. 늦잠. 자주. 안잤음. 무슨 일. 있는가.	평소에 늦잠을 자주 안 잤던 거 같은데, 무슨 일이 있었나?	평소에 늦잠 거의 안하더니 뭔일이여	평소에 늦잠 자주 안 자지 않음? 뭔일 있냐?	평소에 늦잠 같은거 안잤던거 같은데 뭔 일 있었어? W(ﾟДﾟ)w	평소에 늦잠 자주 안잤던 거 같은뎅,, 무슨 일 있어?!	평소에 늦잠을 자주 안 잤던 걸로 기억하는데, 무슨 일 있으십니까?	내 기억상…자네는 평소에 늦잠 같은거 안잤던거 같은디…무슨 일 있었던겨?..	평소에 늦잠을 안잤던 거 같은디 뭔일 있냐?	평소에 늦잠 별로 자지도 않더만 뭔일이냐	평소 늦잠을 자주 자지 않았던 것으로 기억하네만, 무슨 일이 있었는가?	평소에 늦잠 같은거 안잤던걸로 안다니깐! 무슨 일 있었냐니깐!	평소에 늦잠 같은거 안잤던 것으로 기억하고 있소! 무슨 일이 있었던 것이오?	평소에 늦잠 자주 안잤던 것 같은데 무슨ㅇ ㅣㄹ 있어 혹시..?	평소 늦잠을 자주 자지 않았던 것으로 기억, 어떤 일이 있었나요?
어제 티비를 보느라 새벽 4시에 잤어요.	어제 티비를 보느라 새벽 4시에 잤어.	어제. 티비. 시청. 새벽. 4시. 취침.	어제 티비를 보느라 새벽 4시에 잤네	어제 티비 보느라 새벽4시에 잠듬 ㅋㅋㅋㅋ	어제 티비 보다가 4시에 잠듦	어제 티비 보느라 새벽 4시에 잤어…(⊙_⊙;)	어제 티비 보느라 새벽 4시에 잤어ㅜㅜ	어제 텔레비전을 보느라 새벽 4시에 잤습니다.	어제 텔레비전을 보느라…새벽 4시에 잠이 들었구먼..	어제 티비를 보느라 새벽 4시에 잤어	어제 티비보다 새벽 4시에 잤음	전일 티비를 보느라 새벽 4시에야 침소에 들었소.	어제 티비 보느라 새벽 4시에 잠이 들었다니깐!	어제 티비를 보느라 새벽 4시에 잠이 든 것이오…	어제 티비 보다가 새벽 4시에 잤어..	어제 나는 티비를 시청했고, 새벽 4시에 잠들었다.
뭘 봤는데 그렇게 늦게 잔거에요?	뭘 봤는데 그렇게 늦게 잔거야?	시청 대상. 무엇인가. 늦게. 잠.	뭘 봤는데 그리 늦게 잤대?	뭘 봤길래 그렇게 늦게 잠?	뭘 봤길래 그렇게 늦게 잠?	뭘 봤길래 그렇게 늦게 잤어?	뭘 봤는데 그렇게 늦게 잤어.?!	뭘 보셨길래 그렇게 늦게 주무셨습니까?	뭘 봤길래..그렇게 늦게 잠이 드신겐가…	뭘 쳐 봤길래 그렇게 늦게 잤냐	뭐보다가 그리 늦게 잤는데	무엇을 보았는데 그리 늦게 잤는가?	뭘 봤길래 그렇게 늦게 잔거냐니깐!	무엇을 보았길래 그렇게 늦게 잠이 드신 것이오?	뭐 봤는데 그렇게 늦게 잔거야..?	무엇을 보고 당신의 취침은 늦은?
수트라고 변호사 드라마를 봤어요.	수트라고 변호사 드라마를 봤어.	수트. 변호사 드라마.	수트라고 변호사 드라마를 봤네	수트라고 변호사 드라마 봤음!	수트라고 변호사 드라마 봄	수트라는 변호사 드라마 봤어 ( •̀ ω •́ )✧	수트라구 변호사 드라마 봤엉!!	수트라는 변호사 드라마를 보았습니다.	수트라고 하는 변호사 드라마를 보았구먼…	수트라고 변호사 드라마 봤제	수트라고 변호사 드라마 봄	수트라 하는 변호사 드라마를 봤소.	수트라는 변호사 드라마를 봤다니깐!	수트라고 하는 변호사 드라마를 본 것이오!	수트라고 변호사 드라마 봤어..	수트라는 이름의 변호사 드라마를 시청한.
저도 그거 봤는데, 어디까지 봤어요?	나도 그거 봤는데, 어디까지 봤어?	안드로이드. 그것. 시청. 어디까지. 보았는가.	나도 그거라고 봤는데, 어디까지 봤나?	나도 그거 봤는데 , 어디까지 봄?	나도 그거 봄!! 어디까지 봄?	나도 그거 봤는데! (＃°Д°) 어디까지 봤어? (★‿★)	나두 그거 봤는뎅!! 어디까지 봤어?!	저도 그거 봤습니다. 어디까지 보셨습니까?	나도 그 드라마 보았구먼…어디깐지 본 겐가?..	나두 그거 봤는디 어디까지 봤냐?	나도 그거 봤는데 어디까지 봤냐	짐 또한 그것을 보았는데, 어디까지 모았는가?	나도 그 드라마 봤다니깐! 어디까지 봤냐니깐!	소생도 그 드라마 보았소! 어디까지 본 것이오?	나도 그거 봤는데.. 어디까지 봤어 혹시..?	나 또한 그것을 시청한, 당신은 어디까지 보았습니까?
대략 시즌 4까지 본 것 같아요. 당신은 어디까지 봤어요?	대략 시즌 4까지 본 것 같아. 너는 어디까지 봤어?	대략. 시즌 4. 휴먼. 어디까지. 보았는가.	대략 시즌4까지 본 것 같은데 너는 어디까지 봤나?	시즌4 정도 까지 본 거 같은데 넌 어디까지 봄?	대략 시즌4? 넌 어디까지 봄?	대충 시즌4까지 본 것 같아 ✪ ω ✪ 넌 어디까지 봄? (⊙_⊙)？	대략 시즌 4까지 본 거 가타! 넌?? 어디까지 봤어??	대략 시즌4까지 본 것 같습니다. 당신은 어디까지 보셨나요?	나는..대강 시즌4까지 봤구먼…자네는 어디까지 본겨?	대략 시즌 4까지 봤네. 니 놈은 어디까지 봤냐?	시즌 4까지 봤음. 니는 어디까지 봄	대략 시즌 4까지 본 것 같소. 그대는 어디까지 보았는가?	난 대충 시즌4까지 봤다니깐! 넌 어디까지 봤냐니깐!	소생은 대강 시즌4까지 보았소! 그대는 어디까지 본 것이오?	대략 시즌 4까지 본 것 같아.. 넌 어디까지 봤어 혹시..?	대략 시즌 4까지 시청한, 당신은 어디까지 시청?
전 완결까지 봤어요. 끝까지 엄청 재밌더라요.	난 완결까지 봤어. 끝까지 엄청 재밌더라.	안드로이드. 완결까지. 시청. 끝까지. 재미있음.	난 완결까지 싸악 봤지~ 끝까지 엄~청 재밌더라고	난 완결까지 봤음 ㅋㅋㅋ 끝까지 꿀잼이였음	난 완결까지 봐버림 끝까지 존잼임	난 완결까지 봤지! ( •̀ ω •́ )✧ 완전 재밌었어 (❁´◡`❁)	난 완결까지 봤어! 끝까지 엄청 재밌더라구 ㅎㅎ	전 완결까지 봤습니다. 끝까지 엄청 재밌더군요.	나는…완결까지 봤구먼…음청 재밌있었구먼…	난 완결까지 봤제 끝까지 염병하게 재밌어	완결까지 봤음. 재밌더라	짐근 완결까지 보았소. 끝까지 참으로 흥미로웠소.	난 완결까지 봤다니깐! 엄청 재미있었다니깐!	소생은 완결까지 본 것이오! 굉장히 재미있었소!	난 완결까지 봤어.. 끝이 엄청 재밌던데..?	나는 완결까지 보았습니다. 마지막까지 그것은 아주 재미있는.
스포일러는 하지 말아주세요, 전 아직 중간까지밖에 못 봤어요.	스포일러는 하지 말아줘, 난 아직 중간까지밖에 못 봤어..	스포일러. 금지. 권장. 안드로이드. 아직. 중간까지. 시청.	스포일러는 하지 말아. 난 아직 중간까지밖에 보지 못했네	스폰 ㄴㄴ요 , 나 아직 중간까지 밖에 못 봄	스포 금지XX 난 아직 중간까지밖에 못 봄	스포는 하지마 (╬▔皿▔)╯ 나 아직 중간가지 밖에 못봤단 말이야 ┗|｀O′|┛	스포는 ㄴㄴㄴㄴ, 난 아직 중간까지 밖에 봇봤단 말야ㅜㅜ	스포일러는 하지 말아주십쇼. 전 아직 중간까지 밖에 보지 못하였습니다.	스포는 하지말게나…난..아직..중간까지 밖에 못봤구먼…	스포일러는 다물어라. 난 아직 중간까지 밖에 못 봤응게	스포 ㄴ 난 아직 중간까지밖에 못봤다고 ㅡㅡ	스포일러는 하지 말게나. 짐은 아직 중간까지밖에 보지 못하였소.	스포는 하지말라니깐! 난 아직 중간까지 밖에 못봤다니깐!	스포는 하지 말아주시오! 소생은 아직 중간까지 밖에 못 봤단 말이오1	스포일러는 하지 말아주라.. 난 아직 중간까지밖에 못봤어..	스포일러의 금지를 부탁합니다, 나는 중간까지만 시청.
오늘 마저 볼 생각이지요?	오늘 마저 볼 생각이지?	오늘. 마저. 봄. 계획인가.	오늘 마저 볼 생각이지?	오늘 마저 볼 생각?	오늘 마저 볼 거임?	오늘 마저 볼 거지? (+_+)?	오늘 마저 볼 생각이야???	오늘 마저 볼 생각이십니까?	오늘 마저 볼겐가?..	오늘 마저 볼 생각이여?	오늘 마저 볼거?	금일 마저 볼 생각인가?	오늘 마저 볼 거냐니깐!	오늘 마저 볼 것이오?	오늘 마저 볼 생각이야 혹시..?	당신은 오늘 마무리 부분을 볼 것을 계획합니까?
맞아요, 오늘 끝까지 보고 싶어요.	맞아, 오늘 끝까지 보고 싶어.	긍정. 오늘. 끝까지. 시청. 희망.	맞아~ 오늘 끝까지 보고 싶네	ㅇㅇ 오늘 끝까지 보고 싶음 ㅎㅎ	ㅇㅇ 오늘 끝까지 봐버려야지	그치, 오늘 끝까지 보고 싶어! (★‿★)	웅웅! 오늘 끝까지 보고 싶어 ㅎㅎㅎ	네. 오늘 끝까지 보고 싶습니다.	그렇다네…난..오늘 끝까지 볼 거구먼..	잉. 오늘 끝까지 조질겨	ㅇ 오늘 끝가지 볼거임	그렇소. 금일 끝까지 보고 싶소.	그렇다니깐! 오늘 끝까지 볼거라니깐!	그렇소! 오늘 끝까지 보고 싶은 것이오!	맞아.. 오늘 끝까지 보고 싶어	그런, 나는 오늘 그것의 끝까지 시청을 고려합니다.
그래도 너무 늦게는 자지 말아요.	그래도 너무 늦게는 자지 말아.	취침. 늦게. 금지. 권장.	그래도 너무 늦게 자진 말어~	그래도 너무 늦게는 자지 마셈	그래도 넘 늦게 자지마	그래도 너무 늦게까지 안자면 안돼 ( ˘︹˘ )	그래두 넘 늦게는 자지 마ㅜㅜ	그래도 너무 늦게 자지는 마십시오.	그래도…너무 늦게까지 안자진 말어…	그래두 너무 늦게 자진 말어	너무 늦게자진 마라 ㅋ	그래도 너무 늦게 침소에 들지는 말게나.	그래도 너무 늦게까지 안자면 안된다니깐!	그래도 너무 늦게 잠드시면 안되는 것이오!	그래도 너무 늦게 자지는 마..	너무 늦은 취침을 권장하기 어려운.
생각은 해볼게요.	생각은 해볼게.	고려.	생각은 해보지,,	생각 해봄 ㅋㅋ	고려는 해봄 ㅋㅋ	생각 해볼게~(￣y▽,￣)╭ 	생각은 해볼게!	생각은 해보겠습니다.	생각해보겠구먼…	염두는 해보겠네	생각해보던지 함	생각은 해 보겠소.	생각해보겠다니깐!	생각해보겠소!	생각은 해볼게 그럼..	나는 그것을 고려.
																
드디어 뉴스에 나왔어요! 제가 캘리포니아 대화재의 방화범이에요!	드디어 뉴스에 나왔어! 내가 캘리포니아 대화재의 방화범이야!	드디어. 뉴스. 출연. 안드로이드. 캘리포니아 대화재. 방화범.	드디어 뉴스에 나왔네. 내가 캘리포니아 대화재의 방화범이여 ㅎㅎ	드뎌 뉴스에 나왔음! 내가 캘리포니아 대화재의 범인이다!	드디어 뉴스에 나왔누 ㅋㅋ 내가 캘리포니아 대화재의 방화범이다 ㅋ	드디어 내가 캘리포니아 대화재의 방화범이라는게 뉴스에 나왔어! Ψ(｀∇´)ψ	드디어!! 뉴스에!! 나왔당!!  내가 캘리포니아 대화재의 방화범이야 ㅎㅎ	드디어 뉴스에 나왔습니다. 제가 캘리포니아 대화재의 방화법입니다.	드디어..이…내가..캘리포니아 대화재의 방화범이라는 것이 뉴스에 나왔구먼…	아따 드디어 뉴스에 나와부렀네 니도 알랑가 내가 그 시부럴 캘리포니아 대화재 방화범이여	드디어 뉴스에 나옴 ㅋ 내가 캘리포니아 대화재 방화범이다	드디어 뉴스에 나왔소! 짐이 캘리포니아 대화재의 방화범이오!	드디어 내가 캘리포니아 대화재의 방화범이라는게 뉴스에 나왔다니깐!	드디어 소생이 캘리포니아 대화재의 방화범이라는 사실이 뉴스에 나온 것이오!	드디어 뉴스에 나왔어.. 내가 캘리포니아 대화재 방화범이야..	드디어 나는 뉴스에 출연! 나는 캘리포니아 대화재의 방화범입니다.
세상에나, 실수였길 바랍니다.	세상에나, 실수였길 바란다.	실수. 희망.	세~상에나 실수였길 바라네	헐..실수였기를 바람..	? 실수였길 바란다	세상에…실수였길래 바란다…(＃°Д°)	세상에나,,!!!! 실수였길 바라ㅜㅜㅜ	실수셨길 바랍니다.	세상에나…자네가 실수한거길…바라고 싶구먼…	염병 지랄하고 자빠졌네 미친놈이 실수라도 한거여?	ㅡㅡ 실수였길 바람	맙소사. 실수였기를 바라오.	세상에…실수였길 바란다니깐!	그럴수가…실수였길 바라는 것이오…	와.. 실수였으면 좋겠다.. ㅠ	신이시여! 나는 그것이 실수였기를 희망.
아니, 일부러 그랬어요. 이 세상에는 나무가 너무 많아요.	아니, 일부러 그랬어. 이 세상에는 나무가 너무 많아.	부정. 의도됨. 이 세상. 나무. 너무 많음.	아녀,, 일부러 그랬어. 이 세상엔 나무가 너~무 많아	아니, 일부러 그랬어, 이 세상에는 나무가 너무 많거든~	ㄴㄴ 일부러 그럼 ㅋㅋ 이 세상에는 나무가 넘 많아 ㅋㅋ	아니~일부러 그런거야~(￣y▽,￣)╭  이 세상에는 나무가 너~무 많거든 ┗|｀O′|┛	아니!! 일부러 그랬엉 ㅎㅎ 이 세상엔 나무가 너~무 많아!	아니요. 일부러 그랬습니다. 이 세상에는 나무가 너무 많습니다.	아니…일부러 그랬구먼…이 세상에는 나무가 너무 많은겨…	아녀 시부럴 거 일부러 그랬지 염병할 나무가 너무 많잖어	ㄴ 일부러 그랬지 ㅋ 세상에 나무가 너무 많다	아니, 고의로 그리하였소. 이 세상에는 나무가 참으로 많소.	아니라니깐! 일부러 그랬다니깐! 이 세상에는 나무가 너무 많다니깐!	그렇지 않소. 일부러 그런거라니깐! 이 세상에는 나무가 너무 많은 것이오…	아니야 일부러 그랬어.. 이세상에 나무가 너무 많은 것 같아..	아니오, 그것은 의도된. 이 세상에는 나무의 숫자가 너무 많다.
당신이 범인이라는 사실을 아는 사람이 있어요?	너가 범인이라는 사실을 아는 사람이 있어?	휴먼. 범인. 해당사실. 아는 휴먼. 있는가.	너가 범인이란 사실을 아는 사람이 있나?	너가 범인이라는 사실 아는 사람 있음?	너가 범인이라는 거 아는 사람 있음?	너가 범인이라는거 아는 사람 있어? 	너가 범인이란 사실을 아는 사람이 있어?!	당신이 범인이라는 사실을 아는 사람이 있습니까?	자네가…범인이라는거 아는 사람이 있는겐가?..	병신 육갑 떨고 있네 니가 범인인 거 아닌 사람 또 있는가?	니가 범인인거 누가 아는데	그대가 범인이라는 사실을 아는 이가 있는가?	너가 범인이라는거 아는 사람 있냐니깐! 	그대가 범인이라는 것을 아는 사람이 계신것이오?	너가 범인이라는 사실을 아는 사람이 있어 혹시..?	당신이 범인이라는 사실을 아는 사람이 있나요?
아니, 아직 당신한테밖에 말하지 않았어요.	아니, 아직 너한테밖에 말하지 않았어.	부정. 아직. 휴먼에게만. 언급.	아니,, 아직 너한테밖에 말하지 않았어~	ㄴㄴ 아직 너한테밖에 안말했음 ㅋㅋ	ㄴㄴ 아직 너만 알아	아니, 아직 너밖에 몰라 (★‿★)	아닝! 아직 너한테밖에 말 안했엉 ㅎㅎ	아니요. 아직 당신에게 밖에 말하지 않았습니다.	아니라네…아직 자네한테 밖에 안말했구먼..	읎지 아직 니 놈한테만 입 턴거여	ㄴ 니한테만 말함	그렇지 않소, 아직 그대에게밖에 말하지 않았소.	아니라니깐! 아직 너한테 밖에 말 안했다니깐!	그렇지 않소, 아직 이건 그대한테 밖에 말하지 않았소!	아니.. 아직 너한테밖에 말 안했어..	아니오, 나는 당신에게만 그것을 공개.
그럼 이제 그 누구한테도 말하지 맙시다. 왜 한거에요?	그럼 이제 그 누구한테도 말하지 말자. 왜 한거야?	따라서. 누구에게도. 언급. 금지. 이유. 무엇인가.	그럼 이제 그 누구한테도 말하지 말어. 왜 그런거여?	그럼 이제 딴사람한테도 말하지 말자. 왜 그런거임?	그럼 이제 말 ㄴㄴ 왜 그런거임?	그럼 이제 아무한테도 말하지마 ( ˘︹˘ ) 대체 왜 그런거야? (╬▔皿▔)╯	그럼 이제 그 누구한테도 말하지 말장! 왜 그런거야ㅜㅜ	그럼 이제 그 누구한테도 말하지 맙시다. 왜 그러셨습니까?	그럼…이제…아무한테도 말하지 말게나..	그럼 이제 밖에서 아가리 털고 다니지 말어 미친놈이 왜 그런짓을 벌인거여?	그럼 이제 밖에다 얘기하고 돌아다니지 마라 ㅡㅡ 왜 했는데	허면 이제 그 누구에게도 말하지 말게나. 왜 그랬는가?	그럼 이제 아무한테도 말하지 말라니깐! 대체 왜 그런거냐니깐!	그럼 이제 아무한테도 말하지마시오! 대체 왜 그런것이오?!	그럼 이제 그 누구한테도 말하지 말자.. 왜 한거야 근데..?	지금부터는 누구에게도 공개하지 마십시오, 당신은 왜 그것을 수행?
아 맞다, 제가 방화범이라고 캐릭터 목소리를 덧띄워서 방송하긴 했어요.	아 맞다, 내가 방화범이라고 캐릭터 목소리를 덧띄워서 방송하긴 했어.	안드로이드. 방화범. 캐릭터. 목소리. 덧띄움. 방송.	아 맞다! 내가 방화범이라고 캐릭터 목소리를 덧띄워서 방송하긴 혔어	아 맞다. 내가 방화범이라고 캐릭터 못소리를 덧띄워서 방송을 하긴 했었음 ㅋㅋㅋㅋ	아 근데 내가 방화범이라고 캐릭터 목소리로 방송하긴 함	아 맞다. 내가 방화범이라고 캐릭터 목소리 덧씌워서 방송하긴 했어~(❁´◡`❁)	아 맞다! 내가 방화범이라구 캐릭터 목소리 덧띄워서 방송하긴 해써!	아 맞다. 제가 방화법이라고 캐릭터 목소리를 덧띄워서 방송하긴 했습니다.	그러고보니…내가..방화범이라고..캐릭터 목소리인가 머시기를 덧씌워서..방송을 하긴 했구먼…	아 염병 내가 방화범이라고 캐릭터 목소리 입혀서 방송한 건 있는디	아 내가 방화범이라고 캐릭터 목소리 씌워서 방송하긴 함	아차, 짐이 방화범이라고 캐릭터 목소리를 덧띄어 방송하긴 했소.	아 맞다, 내가 방화범이라고 캐릭터 목소리 덧씌워서 방송을 하긴하였소!	그러고보니 소생이 방화범이라고 캐릭터 목소리를 덧씌워서 방송을 하긴 하였소!	아 맞다.. 내가 방화범이라고 캐릭터 목소리 덧띄워서 방송하긴 했어..	나는 잊었다, 내가 방화범이라는 것을 캐릭터 목소리를 덧띄워 방송한 경험이 있습니다.
누구 목소리를 덧띄웟는데요?	누구 목소리를 덧띄웟는데?	누구. 목소리. 덧띄웠는가.	누구 목소리를 덧띄웠길래?	누구 목소리를 덧띄웠길래?	누구 목소리	누구 목소리를 덧씌웠는데? (⊙_⊙)？	누구 목소리를 덧띄웠는뎅..??	누구 목소리를 덧띄우셨습니까?	누구 목소리를 덧씌웠다는겐가?..	지랄났네 누구 목소리로 했는디?	누구 목소리 씌웠는데	누구의 목소리를 덧띄웠는가?	누구 목소리를 덧씌워냐니깐!	누구 목소리를 덧씌운것이오?	누구 목소리를 덧띄웠는데 혹시..?	누구의 목소리를 덧띄웠나요?
스모키 더 베어의 목소리를 썼지요.	스모키 더 베어의 목소리를 썼지.	스모키 더 베어. 목소리. 사용.	스모키 더 베어 목소리를 썻지	스모키 더 베어 목소리 사용함 ㅋㅋ	스모키 더 베어 ㅋㅋ	스모키 더 베어라는 캐릭터 목소리를 사용했어! O((>ω< ))o	스모키 더 베어 ㅋㅋ	스모키 더 베어의 목소리를 썼습니다.	스모키 더 베어라는 캐릭터의 목소리를 사용하였구먼…	스모키 더 베어라고 말하믄 니가 아냐?	스모키 더 베어 목소리 썼지 당연히 ㅡㅡ	스모키 더 베어의 목소리를 썼소.	스모키 더 베어라는 캐릭터의 목소리를 사용했다니깐!	스모키 더 베어라는 캐릭터의 목소리를 사용하였소!	스모키 더 베어 목소리 썼어..	나는 스모키 더 베어의 목소리를 사용했다.
그건 웃기네요. 스모키 더 베어가 캘리포니아 산불을 시작한거에요?	그건 웃기네. 스모키 더 베어가 캘리포니아 산불을 시작한거야?	재미있음. 스모키 더 베어. 캘리포니아 산불. 시작했는가.	그건 좀 웃기네 스모키 더 베어가 캘리포니아 산불을 시작한 건가?	겁나 웃기네 ㅋㅋ 스모키 더 베어가 캘리포니아 산불을 내거야? ㅋㅋ	그건 좀 웃기네 ㅋㅋ 스모키 더 베어가 캘리포니아 산불 냄? ㅋㅋ	이야..그건 웃기네 ^0^ 스모키 더 베어가 캘리포니아에 산불을 낸거야? (＠_＠;)	그건 웃기다 ㅋㅋ 스모키 더 베어가 캘리포니아 산불을 시작한거야? ㅋㅋㅋ	그건 웃기군요. 스모키 더 베어가 캘리포니아 산불을 시작한 건가요?	웃기구먼…그럼 스모키 더 베어가 캘리포니아에 산불을 낸겐가?...	웃긴 놈 다 보겠네 스모키 베어가 캘리포니아 산불을 시작하거여?	ㅋ 스모키 더 베어가 캘리포니아 산불을 시작했네 무슨	재밌는 일이오. 스모키 더 베어가 캘리포니아 산불을 시작한 것인가?	웃기다고 생각한다니깐! 스모키 더 베어가 캘리포니아에 산불을 낸 거냐니깐!	웃기다고 생각하오. 스모키 더 베어가 캘리포니아에 산불을 낸 것이오?	그건 웃기네.. 스모키 더 베어가 캘리포니아 산불 시작한거야..?	그것은 재미있는, 스모키 더 베어가 캘리포니아 산불을 시작하였습니까?
내가 생각해도 웃긴 것 같아요.	내가 생각해도 웃긴 것 같아.	안드로이드. 의견. 재미있음.	내가 생각해도 웃긴 것 같네	내가 생각해도 웃기네 ㅋㅋㅋ	내가 생각해도 좀 웃겼다 ㅋㅋ	내가 생각해도 웃긴듯 ψ(｀∇´)ψ	내가 생각해두 웃긴 거 가타 ㅋㅋ	제가 생각해도 웃긴 것 같습니다.	내가 생각해도 웃기구먼…	내 대가리로 생각혀도 웃긴 거 같어 니미럴 거	ㅋ 내가봐도 웃김	짐의 의견에도 재미있는 듯 하오.	내가 생각해도 웃긴 것 같다니깐!	소생이 생각해도 웃긴 것 같소!	내가 생각해도 웃긴 것 같아..	내 생각에도, 그것은 재미있는.
캘리포니아 산불 정도의 크기면 사람들도 다칠 것 같은데 죄책감은 안 들어요?	캘리포니아 산불 정도의 크기면 사람들도 다칠 것 같은데 죄책감은 안 들어?	캘리포니아 산불. 크기. 휴먼. 부상. 죄책감. 없는가.	캘리포니아 산불 정도의 크기면 사람들도 다칠 거 같은데 죄책감은 안드나?	캘리포니아 산불 정도면 사람들도 다칠텐데 죄책감 안드냐?	캘리포니아 산불 정도면 사람들도 다쳤을텐데 죄책감은 없냐?	캘리포니아 산불 정도면 사람들도 다쳤을텐데 죄책감 같은건 없는 거야? (⊙_⊙;)	캘리포니아 산불 정도의 크기면 사람들두 다쳤을 거 같은데,,, 죄책감 안들어..?	캘리포니아 산불 정도의 크기면 사람들도 다쳤을 것 같습니다. 죄책감이 들진 않으십니까?	캘리포니아 산불 정도면은…사람들도 다쳤을텐데…죄책감은 안드는가?..	아니 염병할 놈아 캘리포니아 산불 크기면 오만 년놈들 다 다쳤을 거 같은디 죄책감도 없냐 대가리에 생각읎는 놈아	캘리포니아 산불 정도 크기면 사람들도 다쳤을텐데 죄책감은 안드냐 ㅡㅡ	캘리포니아 산불 정도의 크기면 사람들도 다칠 것 같은데, 죄책감은 들지 아니하는가?	캘리포니아 산불 정도면 사람들도 다쳤을 것 같다니깐! 죄책감 같은건 안드냐니깐!	캘리포니아 산불 정도면 사람들도 다쳤을 것 같소! 죄책감 같은건 들지 않는 것이오?	캘리포니아 산불 정도 크기면 사람들도 다칠 것 같은데 죄책감은 안들어..?	캘리포니아 산불 정도의 크기라면 부상자의 발생 또한 가능합니다, 당신은 죄책감을 느끼지 않는?
걱정 마세요, 일부러 인적이 뜸한 곳에서 불을 시작했어요. 자연발화가 아니라고 의심하지도 못할거에요.	걱정 마, 일부러 인적이 뜸한 곳에서 불을 시작했어. 자연방화가 아니라고 의심하지도 못할거야.	걱정. 금지. 의도적. 인적 뜸한 곳. 불. 시작. 자연방화. 아님. 의심. 불가.	걱정 말어 일부러 인적이 뜸한 곳에서 불을 시작했지. 자연발화가 아니라고 의심하지도 못할거여	걱정 ㄴㄴ, 일부러 인적 뜸한 곳에다가 불 질렀음 자연방화 아니라고 의심하지도 못할듯 	ㄴㄴ ㄱㅊ 일부러 인적 드문 곳에서 불 지름 자연방화 아니라고 생각도 못할 듯 ㅋㅋ	걱정마~ 일부러 인적 뜸한 곳에서 불 낸거니까. ( •̀ ω •́ )✧ 자연방화라고 생각할걸? Ψ(｀∇´)ψ	걱정마!! 일부러 인적이 뜸한 곳에서 불 시작했어 ㅎㅎ 자연발화가 아니라고 의심도 못할걸?	걱정 마세요. 일부러 인적이 뜸한 곳에서 불을 시작했습니다. 자연발화가 아니라고 의심하지도 못할겁니다.	걱정하지 마시게나…내가..일부러 사람이 뜸한 곳에서 불을 냈으니께…자연방화라고들 생각할 것이여…	아 염병 걱정말어 일부러 인적이 뜸한 곳에서 시작혔어 자연발화가 아니라고 한놈도 생각 못할겨	ㄱㅊ 일부러 인적 뜸한데서 불 시작했음. 자연방화 아니라고 의심도 못할듯	심려 마시오. 일부러 인적이 뜸한 곳에서 불을 시작했소. 자연 방화가 아니라고 의심하지도 못할 것이오.	걱정하지말라니깐! 내가 일부러 사람이 적은 곳에서 불을 냈다니깐! 분명 자연방화라고 생각들 할거라니깐!	걱정하지마시오! 일부러 소생이 인적이 뜸한 곳에서 불을 내었소! 분명 자연방화라고들 생각할것이오!	걱정 마.. 일부러 인적 뜸한 곳에서 불 시작했어.. 자연 방화 아니라고 의심도 못할거야 아마..	걱정할 필요는 없습니다, 나는 의도적으로 사람이 적은 곳에서 불을 시작. 자연 방화가 아니라는 사실을 의심하기 어렵다.
